id,gender,dunble_id,credit_card,drug_company
1,Male,edu.mit.Span,mastercard,Uriel Pharmacy Inc.
2,Female,vu.de.Biodex,mastercard,"Therakos, Inc."
3,Male,com.biblegateway.Otcom,jcb,"Janssen Biotech, Inc."
4,Male,gov.senate.Bytecard,mastercard,"The Yeon Co., Ltd."
5,Male,com.fc2.Wrapsafe,diners-club-enroute,Harmon Stores Inc.
6,Female,uk.ac.ox.Job,visa,ARMY AND AIR FORCE EXCHANGE SERVICE
7,Male,org.networkadvertising.Tresom,solo,Teva Pharmaceuticals USA Inc
8,Agender,com.foxnews.Subin,jcb,"Nan Mei Pharmaceutical Co., Ltd."
9,Male,net.php.Mat Lam Tam,maestro,AvPAK
10,Polygender,gov.whitehouse.Zontrax,china-unionpay,"Synergy Formulas, Inc."
11,Male,com.instagram.Ventosanzap,jcb,"DolGenCorp, LLC"
12,Female,com.meetup.Redhold,jcb,"Nelco Laboratories, Inc."
13,Female,com.ifeng.Sub-Ex,visa,"MEIJER, INC."
14,Female,net.earthlink.Namfix,instapayment,REMEDYREPACK INC.
15,Male,ca.cbc.Zaam-Dox,mastercard,"Bare Escentuals Beauty, Inc."
16,Female,com.wsj.Tresom,visa,ENCHANTE ACCESSORIES INC.
17,Male,edu.illinois.Opela,jcb,Contract Pharmacy Services-PA
18,Male,jp.co.rakuten.Redhold,switch,JN Pharm
19,Male,com.smugmug.Zathin,jcb,Jazeera Pharmaceutical
20,Male,gov.va.Tresom,diners-club-enroute,"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc."
21,Male,uk.co.amazon.Trippledex,jcb,Qualitest Pharmaceuticals
22,Female,com.gizmodo.Zaam-Dox,diners-club-carte-blanche,CleanWell
23,Male,com.nature.Bamity,jcb,"Deb USA, Inc."
24,Female,com.multiply.Tresom,solo,NARS COSMETICS
25,Genderqueer,com.mayoclinic.Transcof,jcb,Time Cap Labs Inc
26,Female,com.jigsy.Aerified,jcb,Teva Pharmaceuticals USA Inc
27,Agender,com.ning.Aerified,bankcard,Clinical Solutions Wholesale
28,Female,com.usnews.Sonsing,jcb,Aurobindo Pharma Limited
29,Female,com.naver.Aerified,mastercard,"Meijer Distribution, Inc."
30,Female,jp.ne.dion.Quo Lux,diners-club-international,Neutrogena Corporation
31,Male,com.patch.Sonsing,jcb,Target Corporation
32,Female,com.mashable.It,diners-club-enroute,"Bath & Body Works, Inc."
33,Female,au.org.auda.Bitwolf,jcb,Teva Pharmaceuticals USA Inc
34,Female,com.vinaora.Keylex,jcb,"Deseret Biologicals, Inc."
35,Male,com.economist.Konklab,visa,Sion Biotext Medical Ltd
36,Male,de.spiegel.Domainer,jcb,Kroger Co.
37,Polygender,com.twitter.Fix San,switch,"Roxane Laboratories, Inc"
38,Male,com.theguardian.Keylex,mastercard,Washington Homeopathic Products
39,Male,gov.dot.Flowdesk,visa-electron,Kay Chemcial Co.
40,Female,com.booking.Zoolab,jcb,"Carlsbad Technology, Inc"
41,Male,com.weebly.Job,instapayment,Amerisource Bergen
42,Male,com.java.Tresom,jcb,Remedy Makers
43,Female,com.addthis.Zathin,visa-electron,"L'oreal Usa, Inc."
44,Female,com.devhub.Flexidy,jcb,"Nelco Laboratories, Inc."
45,Female,io.soup.Rank,mastercard,Pharmacia and Upjohn Company
46,Female,com.ucoz.Cardify,visa,Jubilant HollisterStier LLC
47,Male,com.purevolume.Opela,diners-club-carte-blanche,Aurolife Pharma LLC
48,Female,com.boston.Bamity,mastercard,"Allermed Laboratories, Inc."
49,Male,la.51.Tampflex,maestro,"Accra-Pac, Inc."
50,Male,au.gov.oaic.Hatity,mastercard,Supervalu Inc
51,Male,uk.co.amazon.Quo Lux,maestro,Rebel Distributors Corp
52,Male,com.example.Greenlam,diners-club-us-ca,"PD-Rx Pharmaceuticals, Inc."
53,Male,edu.mit.Flowdesk,switch,Beiersdorf Inc
54,Male,gov.census.Matsoft,china-unionpay,American Health Packaging
55,Female,com.ibm.Transcof,jcb,"General Injectables & Vaccines, Inc"
56,Male,uk.co.independent.Gembucket,jcb,sanofi-aventis U.S. LLC
57,Female,com.topsy.Keylex,jcb,"Pharbest Pharmaceuticals, Inc."
58,Male,edu.yale.Regrant,jcb,UV Natural International Pty Ltd
59,Agender,com.statcounter.Hatity,china-unionpay,REMEDYREPACK INC.
60,Female,edu.umn.Daltfresh,mastercard,"Novartis Consumer Health, Inc."
61,Male,edu.psu.Job,diners-club-international,"Jets, Sets, & Elephants Beauty Corp."
62,Female,uk.co.timesonline.Daltfresh,diners-club-international,American Health Packaging
63,Male,it.tuttocitta.Span,jcb,Procter and Gamble Manufacturing Company
64,Female,cz.mapy.Ronstring,jcb,"GOWOONSESANG COSMETICS CO., LTD."
65,Female,be.youtu.Gembucket,jcb,B. Braun Medical Inc.
66,Female,com.ehow.It,jcb,"Aphena Pharma Solutions - Tennessee, LLC"
67,Female,com.mac.Voyatouch,jcb,"ASSURED / DOLLAR TREE (Greenbrier International, Inc.)"
68,Female,uk.co.ebay.Latlux,jcb,"Antigen Laboratories, Inc."
69,Female,cz.mapy.Bamity,diners-club-carte-blanche,"LG Household and Healthcare, Inc."
70,Female,com.topsy.Bigtax,maestro,Procter & Gamble Manufacturing Co.
71,Female,com.ebay.Overhold,jcb,"Dixon Investments, Inc."
72,Male,com.baidu.Duobam,diners-club-enroute,Mylan Pharmaceuticals Inc.
73,Female,com.fotki.Subin,jcb,Aidarex Pharmaceuticals LLC
74,Female,com.biblegateway.Hatity,maestro,American Health Packaging
75,Female,net.clickbank.Zaam-Dox,visa-electron,Zydus Pharmaceuticals (USA) Inc.
76,Male,com.storify.Bitwolf,diners-club-carte-blanche,BELVEDERE INTERNATIONAL INC.
77,Female,au.gov.oaic.Y-find,jcb,"Medline Industries, Inc"
78,Female,com.netscape.Keylex,jcb,"Nelco Laboratories, Inc."
79,Female,fm.last.It,jcb,Cardinal Health
80,Male,com.live.Bytecard,mastercard,Testpak Holding Company
